Designator,Mid X,Mid Y,Rotation,Layer
C1,156.75,-93.2,0.0,top
C10,194.8,-98.4,315.0,top
C11,153.2,-105.2,270.0,top
C2,174.8,-69.2,270.0,top
C20,156.2,-99.4,90.0,top
C22,166.3,-97.75,270.0,top
C23,179.6,-99.2,270.0,top
C25,160.95,-106.0375,0.0,top
C3,174.8,-73.2,90.0,top
C4,178.8,-88.6,270.0,top
C5,175.0,-89.6,180.0,top
C6,148.2,-89.6,0.0,top
C7,146.4,-106.6,0.0,top
C8,150.0,-106.6,180.0,top
C9,155.6,-105.2,270.0,top
D1,185.0,-83.5,270.0,top
D3,148.2,-82.95,180.0,top
D4,148.2,-86.55,180.0,top
F1,148.2,-76.4,180.0,top
J1,161.195,-99.615,0.0,top
J2,174.58,-113.67,270.0,top
J8,194.9,-85.61,0.0,top
JP1,179.7,-79.17,0.0,top
R13,185.0,-79.75,90.0,top
R17,160.95,-108.0375,0.0,top
R7,176.5,-77.0,270.0,top
R8,168.5,-78.5,0.0,top
U1,160.9,-68.0,0.0,top
U15,172.9,-98.7,90.0,top
U19,182.25,-68.0,0.0,top
U2,189.6,-102.6,135.0,top
U20,160.5,-86.0,90.0,top
U25,170.8,-71.19,270.0,top
U27,175.0,-84.4,0.0,top
U9,148.28,-98.96,90.0,top
